Sentence	Relation
Do the proposed @coding_system$ guidelines provide sufficient clinical guidelines to distinguish @phenotype$ and BED regardless of weight status?  	0
Do the proposed @coding_system$ guidelines provide sufficient clinical guidelines to distinguish BN and @phenotype$?  	0
Does the proposed addition of @phenotype$ in the @coding_system$ result in individuals with ARFID being more accurately distinguished from AN, and does the proposed addition of ARFID to ICD-11 reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?  	0
Does the proposed addition of ARFID in the @coding_system$ result in individuals with @phenotype$ being more accurately distinguished from AN, and does the proposed addition of ARFID to ICD-11 reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?  	0
Does the proposed addition of ARFID in the @coding_system$ result in individuals with ARFID being more accurately distinguished from @phenotype$, and does the proposed addition of ARFID to ICD-11 reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?  	0
Does the proposed addition of ARFID in the ICD-11 result in individuals with ARFID being more accurately distinguished from AN, and does the proposed addition of @phenotype$ to @coding_system$ reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?  	0
Does the proposed addition of ARFID in the ICD-11 result in individuals with ARFID being more accurately distinguished from AN, and does the proposed addition of ARFID to @coding_system$ reduce the number of individuals diagnosed with @phenotype$?  	0
Does the proposed addition of @phenotype$ in the ICD-11 result in individuals with ARFID being more accurately distinguished from AN, and does the proposed addition of ARFID to @coding_system$ reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?  	3
Does the proposed addition of ARFID in the ICD-11 result in individuals with @phenotype$ being more accurately distinguished from AN, and does the proposed addition of ARFID to @coding_system$ reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?  	3
Does the proposed addition of ARFID in the ICD-11 result in individuals with ARFID being more accurately distinguished from @phenotype$, and does the proposed addition of ARFID to @coding_system$ reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?  	3
Does the proposed addition of ARFID in the @coding_system$ result in individuals with ARFID being more accurately distinguished from AN, and does the proposed addition of @phenotype$ to ICD-11 reduce the number of individuals diagnosed with residual eating disorder categories (atypical, other specified, and unspecified)?  	3
Does the proposed addition of ARFID in the @coding_system$ result in individuals with ARFID being more accurately distinguished from AN, and does the proposed addition of ARFID to ICD-11 reduce the number of individuals diagnosed with @phenotype$?  	3
Can clinicians distinguish between @phenotype$ and no eating pathology based on the proposed @coding_system$ guidelines?  	0
Can clinicians distinguish between ARFID and @phenotype$ based on the proposed @coding_system$ guidelines?  	0
In such cases, can clinicians accurately distinguish between @phenotype$ and ARFID based on the proposed @coding_system$ guidelines?  	0
In such cases, can clinicians accurately distinguish between AN and @phenotype$ based on the proposed @coding_system$ guidelines?  	0
@coding_system$ has proposed that a diagnosis of @phenotype$ be retained until an individual has at least 1 year of stabilized weight gain and cessation of behaviors aimed at promoting weight loss.	0
Is the proposal to include subjective binge eating in @coding_system$ @phenotype$ clinically useful and effective in reducing residual eating disorder diagnoses?  	0
Is the proposal to include subjective binge eating in @coding_system$ BN clinically useful and effective in reducing @phenotype$?  	0
Do the proposed guidelines for @coding_system$ enable clinicians to accurately distinguish between @phenotype$ and BED?  	0
Do the proposed guidelines for @coding_system$ enable clinicians to accurately distinguish between BN and @phenotype$?  	0
Are the proposed @coding_system$ guidelines for @phenotype$ clinically useful in distinguishing BED from no disorder?  	0
Are the proposed @coding_system$ guidelines for BED clinically useful in distinguishing @phenotype$ from no disorder?  	0
Are the proposed @coding_system$ guidelines for BED clinically useful in distinguishing BED from @phenotype$?  	0
Do the proposed @coding_system$ guidelines provide sufficient clinical guidelines to distinguish @phenotype$ and BED regardless of weight status?  	0
Do the proposed @coding_system$ guidelines provide sufficient clinical guidelines to distinguish BN and @phenotype$?  	0
Overeating associated with other psychological disturbances/atypical bulimia nervosa/other ED/ ED unspecified Binge eating disorder AN anorexia nervosa, BMI body mass index, ED eating disorder, ARFID avoidant-restrictive food intake disorder  Case vignettes with their accurate diagnoses according to either the @coding_system$ or ICD-11 diagnostic guidelines  @phenotype$  For the purpose of evaluating the clinical utility of the ICD-11 guidelines in this study, members of the workgroup decided which ICD-10 diagnosis (or diagnoses) represented the best fit for the relevant vignettes.	0
Overeating associated with other psychological disturbances/atypical bulimia nervosa/other ED/ ED unspecified Binge eating disorder AN anorexia nervosa, BMI body mass index, ED eating disorder, ARFID avoidant-restrictive food intake disorder  Case vignettes with their accurate diagnoses according to either the ICD-10 or @coding_system$ diagnostic guidelines  @phenotype$  For the purpose of evaluating the clinical utility of the ICD-11 guidelines in this study, members of the workgroup decided which ICD-10 diagnosis (or diagnoses) represented the best fit for the relevant vignettes.	0
Overeating associated with other psychological disturbances/atypical bulimia nervosa/other ED/ ED unspecified Binge eating disorder AN anorexia nervosa, BMI body mass index, ED eating disorder, ARFID avoidant-restrictive food intake disorder  Case vignettes with their accurate diagnoses according to either the ICD-10 or ICD-11 diagnostic guidelines  @phenotype$  For the purpose of evaluating the clinical utility of the @coding_system$ guidelines in this study, members of the workgroup decided which ICD-10 diagnosis (or diagnoses) represented the best fit for the relevant vignettes.	3
Overeating associated with other psychological disturbances/atypical bulimia nervosa/other ED/ ED unspecified Binge eating disorder AN anorexia nervosa, BMI body mass index, ED eating disorder, ARFID avoidant-restrictive food intake disorder  Case vignettes with their accurate diagnoses according to either the ICD-10 or ICD-11 diagnostic guidelines  @phenotype$  For the purpose of evaluating the clinical utility of the ICD-11 guidelines in this study, members of the workgroup decided which @coding_system$ diagnosis (or diagnoses) represented the best fit for the relevant vignettes.	3
Because @phenotype$ are new diagnoses in @coding_system$, there is not an exact comparable diagnosis in ICD-10.	0
Because @phenotype$ are new diagnoses in ICD-11, there is not an exact comparable diagnosis in @coding_system$.	3
Thus, when applying the available options in @coding_system$, a specific case could be diagnosed as @phenotype$	0
None of these options would fit the exact case description for @phenotype$, but they would be the best diagnoses available using @coding_system$.	0
Upon entry to the study, participants were randomized to a condition in which they viewed either @coding_system$ or ICD-11 clinical descriptions and diagnostic guidelines for @phenotype$.	0
Upon entry to the study, participants were randomized to a condition in which they viewed either ICD-10 or @coding_system$ clinical descriptions and diagnostic guidelines for @phenotype$.	0
After reading each of their assigned vignettes, participants selected a diagnosis from the respective diagnostic system (@coding_system$ or ICD-10), with an option to enter a diagnosis other than a @phenotype$ if they believed that a different diagnosis was more appropriate.	0
After reading each of their assigned vignettes, participants selected a diagnosis from the respective diagnostic system (ICD-11 or @coding_system$), with an option to enter a diagnosis other than a @phenotype$ if they believed that a different diagnosis was more appropriate.	0
We included participants with the diagnostic categories @code$ (@phenotype$) and F84.5 (Asperger syndrome).	2
We included participants with the diagnostic categories F84.0 (Childhood autism) and @code$ (@phenotype$).	2
We included participants with the diagnostic categories F84.0 (@phenotype$) and @code$ (Asperger syndrome).	3
We included participants with the diagnostic categories @code$ (Childhood autism) and F84.5 (@phenotype$).	3
Patients eligible to participate in the study were sick-listed, either full-time or part-time, according to @coding_system$-diagnoses chapter V F00-F99 (@phenotype$) or Chapter XIII M00-M99 (musculoskeletal diseases), and had an ongoing sick-leave period of a maximum of 28 days at randomization.	0
Patients eligible to participate in the study were sick-listed, either full-time or part-time, according to @coding_system$-diagnoses chapter V @code$ (psychiatric diseases) or Chapter XIII M00-M99 (musculoskeletal diseases), and had an ongoing sick-leave period of a maximum of 28 days at randomization.	1
Patients eligible to participate in the study were sick-listed, either full-time or part-time, according to @coding_system$-diagnoses chapter V F00-F99 (psychiatric diseases) or Chapter XIII M00-M99 (@phenotype$), and had an ongoing sick-leave period of a maximum of 28 days at randomization.	0
Patients eligible to participate in the study were sick-listed, either full-time or part-time, according to @coding_system$-diagnoses chapter V F00-F99 (psychiatric diseases) or Chapter XIII @code$ (musculoskeletal diseases), and had an ongoing sick-leave period of a maximum of 28 days at randomization.	1
Patients eligible to participate in the study were sick-listed, either full-time or part-time, according to ICD 10-diagnoses chapter V @code$ (@phenotype$) or Chapter XIII M00-M99 (musculoskeletal diseases), and had an ongoing sick-leave period of a maximum of 28 days at randomization.	2
Patients eligible to participate in the study were sick-listed, either full-time or part-time, according to ICD 10-diagnoses chapter V F00-F99 (psychiatric diseases) or Chapter XIII @code$ (@phenotype$), and had an ongoing sick-leave period of a maximum of 28 days at randomization.	2
Patients eligible to participate in the study were sick-listed, either full-time or part-time, according to ICD 10-diagnoses chapter V F00-F99 (@phenotype$) or Chapter XIII @code$ (musculoskeletal diseases), and had an ongoing sick-leave period of a maximum of 28 days at randomization.	3
Patients eligible to participate in the study were sick-listed, either full-time or part-time, according to ICD 10-diagnoses chapter V @code$ (psychiatric diseases) or Chapter XIII M00-M99 (@phenotype$), and had an ongoing sick-leave period of a maximum of 28 days at randomization.	3
@phenotype$ (@code$) and buccal midazolam (NO5CD08) were categorised as ‘medicines used to treat acute seizures’ as per their Summary of Product Characteristics indications.  	2
Rectal diazepam (N05BA01) and @phenotype$ (@code$) were categorised as ‘medicines used to treat acute seizures’ as per their Summary of Product Characteristics indications.  	2
@phenotype$ (N05BA01) and buccal midazolam (@code$) were categorised as ‘medicines used to treat acute seizures’ as per their Summary of Product Characteristics indications.  	3
Rectal diazepam (@code$) and @phenotype$ (NO5CD08) were categorised as ‘medicines used to treat acute seizures’ as per their Summary of Product Characteristics indications.  	3
@phenotype$ (@code$) was reclassified as a mood stabiliser.  	2
Clobazam was reclassified as an antiepileptic  Prochlorperazine was included in the @phenotype$ (@code$), as sufficient dosing data was available to suggest that it was primarily being used in low doses (5–10 mg) as licensed for Meniere's syndrome or nausea and vomiting in Ireland rather than 75–100 mg indicated in psychosis.  	2
Patients had a clinical diagnosis of first-episode non-organic (non-affective [@coding_system$ codes @code$] or affective [F30–F33])	1
Patients had a clinical diagnosis of first-episode non-organic (non-affective [@coding_system$ codes F20–F29] or affective [@code$])	1
@phenotype$ were as follows, as specified by the diagnostic manuals (ie, @coding_system$ or ICD-10) or according the procedures of the individual site: schizophrenia: 48.4%; schizoaffective: 5.8%; psychosis NOS: 9.0%; first-episode psychosis: 3.7%; at-risk mental state: 2.4%; and seeking treatment for psychosis: 30.8%.  	0
@phenotype$ were as follows, as specified by the diagnostic manuals (ie, DSM-IV or @coding_system$) or according the procedures of the individual site: schizophrenia: 48.4%; schizoaffective: 5.8%; psychosis NOS: 9.0%; first-episode psychosis: 3.7%; at-risk mental state: 2.4%; and seeking treatment for psychosis: 30.8%.  	0
The @coding_system$ @code$ codes 11 were used to define the 10 signs of alcohol intoxication: smell of alcohol, conjunctival injection, impairments in speech, motor coordination, judgment, mood, behaviour, emotion, cooperation and horizontal gaze nystagmus.	1
The @coding_system$ Y91 codes 11 were used to define the @phenotype$: smell of alcohol, conjunctival injection, impairments in speech, motor coordination, judgment, mood, behaviour, emotion, cooperation and horizontal gaze nystagmus.	0
The International Classification of Diseases-10 @code$ codes 11 were used to define the @phenotype$: smell of alcohol, conjunctival injection, impairments in speech, motor coordination, judgment, mood, behaviour, emotion, cooperation and horizontal gaze nystagmus.	2
The items are based on the definition of functional impairment in @coding_system$ and assess @phenotype$.	0
The DADYS instruments include items based on the ERC [ 79 ], @phenotype$ from the @coding_system$ [ 80 ], ARI [ 81 ], the Parent Proxy Scale [ 82 ] and the PROMIS Pediatric Anger Scale [ 83 ].  	0
@phenotype$ will be assessed at T1 via parent/caregiver questionnaire using a modified version of the Symptom Checklist for Attachment Disorders from the @coding_system$ [ 80 ] and the Symptom Checklist for Posttraumatic Disorders from the DISYPS-III [ 80 ].  	0
@phenotype$ will be assessed at T1 via parent/caregiver questionnaire using a modified version of the Symptom Checklist for Attachment Disorders from the DISYPS-III [ 80 ] and the Symptom Checklist for Posttraumatic Disorders from the @coding_system$ [ 80 ].  	0
@coding_system$ diagnosis of @phenotype$  4.	0
Relevant @coding_system$ @phenotype$  2.	0
Subjects who will meet the criteria for a @coding_system$ diagnosis of @phenotype$ within the last month or the criteria for DSM-IV TR alcohol or substance dependence (other than for nicotine) within the last six months  3.	0
Subjects who will meet the criteria for a DSM-IV TR diagnosis of alcohol or substance abuse (other than for nicotine) within the last month or the criteria for @coding_system$ @phenotype$ within the last six months  3.	0
Subjects who will meet the criteria for a DSM-IV TR diagnosis of @phenotype$ within the last month or the criteria for @coding_system$ alcohol or substance dependence (other than for nicotine) within the last six months  3.	3
Subjects who will meet the criteria for a @coding_system$ diagnosis of alcohol or substance abuse (other than for nicotine) within the last month or the criteria for DSM-IV TR @phenotype$ within the last six months  3.	3
We included patients meeting the following inclusion criteria: presence of an @coding_system$ diagnosis of @phenotype$ (F00.x [ 9 ]), treatment with either donepezil or EGb 761*, aged 80 years or older, and a score on the MMSE [ 10 ] of at least 10 points.	0
We included patients meeting the following inclusion criteria: presence of an @coding_system$ diagnosis of dementia in AD (@code$ [ 9 ]), treatment with either donepezil or EGb 761*, aged 80 years or older, and a score on the MMSE [ 10 ] of at least 10 points.	1
We included patients meeting the following inclusion criteria: presence of an ICD-10 diagnosis of @phenotype$ (@code$ [ 9 ]), treatment with either donepezil or EGb 761*, aged 80 years or older, and a score on the MMSE [ 10 ] of at least 10 points.	2
Diagnosis of @phenotype$ according to @coding_system$ criteria was ascertained using clinical history and clinical examination, laboratory testing according to effective German consensus guidelines for the diagnosis and treatment of dementia, neuropsychological testing including either the MMSE [ 10 ] and the DemTect [ 11 ] or the CERAD neuropsychological battery [ 12 ], assessment of instrumental activities of daily living by Lawton’s eight-item scale (IADL [ 13 ]), and brain imaging.	0
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of @phenotype$ (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	0
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: @phenotype$ F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	0
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia @code$, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	1
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, @phenotype$ F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	0
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder @code$, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	1
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, @phenotype$ F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	0
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders @code$, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	1
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders @code$, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	1
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, @phenotype$ F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	0
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, @phenotype$ F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	0
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder @code$, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	1
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders @code$, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	1
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, @phenotype$ F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	0
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, @phenotype$ F28, and unspecified non-organic psychosis F29).	0
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders @code$, and unspecified non-organic psychosis F29).	1
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and @phenotype$ F29).	0
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (@coding_system$: schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis @code$).	1
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (ICD-10 (international classification of diseases, 10th revision): @phenotype$ @code$, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	2
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, @phenotype$ @code$, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	2
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, @phenotype$ @code$, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	2
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, @phenotype$ @code$, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	2
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, @phenotype$ @code$, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	2
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, @phenotype$ @code$, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	2
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, @phenotype$ @code$, and unspecified non-organic psychosis F29).	2
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and @phenotype$ @code$).	2
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of @phenotype$ (ICD-10 (international classification of diseases, 10th revision): schizophrenia @code$, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	3
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of @phenotype$ (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder @code$, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	3
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of @phenotype$ (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders @code$, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	3
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of @phenotype$ (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders @code$, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	3
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of @phenotype$ (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder @code$, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	3
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of @phenotype$ (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders @code$, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	3
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of @phenotype$ (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders @code$, and unspecified non-organic psychosis F29).	3
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of @phenotype$ (ICD-10 (international classification of diseases, 10th revision): schizophrenia F20, schizotypal disorder F21, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis @code$).	3
OPUS teams are part of the adult psychiatric services treating patients aged 18-35 at the time of their first diagnosis of schizophrenia spectrum disorder (ICD-10 (international classification of diseases, 10th revision): @phenotype$ F20, schizotypal disorder @code$, persistent delusional disorders F22, acute and transient psychotic disorders F23, induced delusional disorder F24, schizoaffective disorders F25, other non-organic psychotic disorders F28, and unspecified non-organic psychosis F29).	3
