Sentence	Relation
patients with @phenotype$ ( @coding_system$ code 71986000 ) were included in this cohort study .	0
patients with @phenotype$ ( snomed - ct code @code$ ) were included in this cohort study .	2
patients with end - stage kidney disease ( @coding_system$ code @code$ ) were included in this cohort study .	1
a total of 372 patients with a diagnosis of @phenotype$ ( @coding_system$ code i48 ) were enrolled in the study .	0
a total of 372 patients with a diagnosis of @phenotype$ ( icd - 10 code @code$ ) were enrolled in the study .	2
a total of 372 patients with a diagnosis of atrial fibrillation ( @coding_system$ code @code$ ) were enrolled in the study .	1
participants in the study were diagnosed with @phenotype$ ( @coding_system$ code 309 . 81 ) according to standardized clinical assessments .	0
participants in the study were diagnosed with @phenotype$ ( dsm - 5 code @code$ ) according to standardized clinical assessments .	2
participants in the study were diagnosed with post - traumatic stress disorder ( @coding_system$ code @code$ ) according to standardized clinical assessments .	1
we analyzed 300 patients diagnosed with @phenotype$ ( @coding_system$ code j44 ) within the past five years .	0
we analyzed 300 patients diagnosed with @phenotype$ ( icd - 10 code @code$ ) within the past five years .	2
we analyzed 300 patients diagnosed with chronic obstructive pulmonary disease ( @coding_system$ code @code$ ) within the past five years .	1
the @phenotype$ group consisted of 80 individuals with a clinical diagnosis according to the @coding_system$ criteria ( code 299 . 00 ) .	0
the @phenotype$ group consisted of 80 individuals with a clinical diagnosis according to the dsm - 5 criteria ( code @code$ ) .	2
the autism spectrum disorder group consisted of 80 individuals with a clinical diagnosis according to the @coding_system$ criteria ( code @code$ ) .	1
patients with a history of @phenotype$ ( @coding_system$ codes i21 – i22 ) were excluded from the study .	0
patients with a history of @phenotype$ ( icd - 10 codes @code$ ) were excluded from the study .	2
patients with a history of acute myocardial infarction ( @coding_system$ codes @code$ ) were excluded from the study .	1
there was a progressive increase in the incidence of @phenotype$ ( @coding_system$ code i50 ) over the study period .	0
there was a progressive increase in the incidence of @phenotype$ ( icd - 10 code @code$ ) over the study period .	2
there was a progressive increase in the incidence of heart failure ( @coding_system$ code @code$ ) over the study period .	1
a total of 686 patients with @phenotype$ ( @coding_system$ code g80 ) were included in this study .	0
a total of 686 patients with @phenotype$ ( icd - 10 code @code$ ) were included in this study .	2
a total of 686 patients with cerebral palsy ( @coding_system$ code @code$ ) were included in this study .	1
the prevalence of self - reported @phenotype$ ( @coding_system$ code j45 ) was 8 . 6 % among the study population .	0
the prevalence of self - reported @phenotype$ ( icd - 10 code @code$ ) was 8 . 6 % among the study population .	2
the prevalence of self - reported asthma ( @coding_system$ code @code$ ) was 8 . 6 % among the study population .	1
patients with @phenotype$ ( @coding_system$ code g20 ) were significantly more likely to develop dementia during the follow - up period .	0
patients with @phenotype$ ( icd - 10 code @code$ ) were significantly more likely to develop dementia during the follow - up period .	2
patients with parkinson ' s disease ( @coding_system$ code @code$ ) were significantly more likely to develop dementia during the follow - up period .	1
patients with parkinson ' s disease ( @coding_system$ code g20 ) were significantly more likely to develop @phenotype$ during the follow - up period .	0
patients with parkinson ' s disease ( icd - 10 code @code$ ) were significantly more likely to develop @phenotype$ during the follow - up period .	2
the cohort included 50 patients with @phenotype$ ( @coding_system$ code 296 . 0 ) and 70 patients with bipolar ii disorder ( code 296 . 89 ) .	0
the cohort included 50 patients with @phenotype$ ( dsm - iv code @code$ ) and 70 patients with bipolar ii disorder ( code 296 . 89 ) .	2
the cohort included 50 patients with @phenotype$ ( dsm - iv code 296 . 0 ) and 70 patients with bipolar ii disorder ( code @code$ ) .	2
the cohort included 50 patients with bipolar i disorder ( @coding_system$ code @code$ ) and 70 patients with bipolar ii disorder ( code 296 . 89 ) .	1
the cohort included 50 patients with bipolar i disorder ( @coding_system$ code 296 . 0 ) and 70 patients with @phenotype$ ( code 296 . 89 ) .	0
the cohort included 50 patients with bipolar i disorder ( dsm - iv code @code$ ) and 70 patients with @phenotype$ ( code 296 . 89 ) .	2
the cohort included 50 patients with bipolar i disorder ( dsm - iv code 296 . 0 ) and 70 patients with @phenotype$ ( code @code$ ) .	2
the cohort included 50 patients with bipolar i disorder ( @coding_system$ code 296 . 0 ) and 70 patients with bipolar ii disorder ( code @code$ ) .	3
we identified 191 individuals with @phenotype$ ( @coding_system$ code g35 ) from the hospital registry .	0
we identified 191 individuals with @phenotype$ ( icd - 10 code @code$ ) from the hospital registry .	2
we identified 191 individuals with multiple sclerosis ( @coding_system$ code @code$ ) from the hospital registry .	1
the study included patients with a diagnosis of @phenotype$ ( @coding_system$ code m05 ) who had received treatment with biologic agents .	0
the study included patients with a diagnosis of @phenotype$ ( icd - 10 code @code$ ) who had received treatment with biologic agents .	2
the study included patients with a diagnosis of rheumatoid arthritis ( @coding_system$ code @code$ ) who had received treatment with biologic agents .	1
this case - control study compared 100 patients with @phenotype$ ( @coding_system$ code k50 ) and 100 age - and gender - matched healthy controls .	0
this case - control study compared 100 patients with @phenotype$ ( icd - 10 code @code$ ) and 100 age - and gender - matched healthy controls .	2
this case - control study compared 100 patients with crohn ' s disease ( @coding_system$ code @code$ ) and 100 age - and gender - matched healthy controls .	1
a history of @phenotype$ ( @coding_system$ code c50 ) was found in 12 % of patients using hormone replacement therapy .	0
a history of @phenotype$ ( icd - 10 code @code$ ) was found in 12 % of patients using hormone replacement therapy .	2
a history of breast cancer ( @coding_system$ code @code$ ) was found in 12 % of patients using hormone replacement therapy .	1
the prevalence of @phenotype$ ( @coding_system$ code g40 ) in this pediatric population was 4 . 3 per 1 , 000 children .	0
the prevalence of @phenotype$ ( icd - 10 code @code$ ) in this pediatric population was 4 . 3 per 1 , 000 children .	2
the prevalence of epilepsy ( @coding_system$ code @code$ ) in this pediatric population was 4 . 3 per 1 , 000 children .	1
in this cross - sectional study , 296 participants were diagnosed with @phenotype$ ( @coding_system$ code 303 . 90 ) and 150 participants had a diagnosis of alcohol abuse ( code 305 . 00 ) .	0
in this cross - sectional study , 296 participants were diagnosed with @phenotype$ ( dsm - 5 code @code$ ) and 150 participants had a diagnosis of alcohol abuse ( code 305 . 00 ) .	2
in this cross - sectional study , 296 participants were diagnosed with @phenotype$ ( dsm - 5 code 303 . 90 ) and 150 participants had a diagnosis of alcohol abuse ( code @code$ ) .	3
in this cross - sectional study , 296 participants were diagnosed with alcohol dependence ( @coding_system$ code @code$ ) and 150 participants had a diagnosis of alcohol abuse ( code 305 . 00 ) .	1
in this cross - sectional study , 296 participants were diagnosed with alcohol dependence ( @coding_system$ code 303 . 90 ) and 150 participants had a diagnosis of @phenotype$ ( code 305 . 00 ) .	0
in this cross - sectional study , 296 participants were diagnosed with alcohol dependence ( dsm - 5 code @code$ ) and 150 participants had a diagnosis of @phenotype$ ( code 305 . 00 ) .	2
in this cross - sectional study , 296 participants were diagnosed with alcohol dependence ( dsm - 5 code 303 . 90 ) and 150 participants had a diagnosis of @phenotype$ ( code @code$ ) .	2
in this cross - sectional study , 296 participants were diagnosed with alcohol dependence ( @coding_system$ code 303 . 90 ) and 150 participants had a diagnosis of alcohol abuse ( code @code$ ) .	1
all patients had a confirmed diagnosis of @phenotype$ ( @coding_system$ code m32 ) based on clinical and laboratory criteria .	0
all patients had a confirmed diagnosis of @phenotype$ ( icd - 10 code @code$ ) based on clinical and laboratory criteria .	2
all patients had a confirmed diagnosis of systemic lupus erythematosus ( @coding_system$ code @code$ ) based on clinical and laboratory criteria .	1
patients were excluded if they had a diagnosis of @phenotype$ ( @coding_system$ code c56 ) within the past 5 years .	0
patients were excluded if they had a diagnosis of @phenotype$ ( icd - 10 code @code$ ) within the past 5 years .	2
patients were excluded if they had a diagnosis of ovarian cancer ( @coding_system$ code @code$ ) within the past 5 years .	1
the study population comprised 1 , 020 individuals with a clinical diagnosis of @phenotype$ ( @coding_system$ code m45 ) .	0
the study population comprised 1 , 020 individuals with a clinical diagnosis of @phenotype$ ( icd - 10 code @code$ ) .	2
the study population comprised 1 , 020 individuals with a clinical diagnosis of ankylosing spondylitis ( @coding_system$ code @code$ ) .	1
patients with @phenotype$ ( @coding_system$ code c85 ) had a significantly increased risk of developing secondary malignancies .	0
patients with @phenotype$ ( icd - 10 code @code$ ) had a significantly increased risk of developing secondary malignancies .	2
patients with non - hodgkin lymphoma ( @coding_system$ code @code$ ) had a significantly increased risk of developing secondary malignancies .	1
we identified 150 patients with @phenotype$ ( @coding_system$ code g12 . 21 ) in this population - based study .	0
we identified 150 patients with @phenotype$ ( icd - 10 code @code$ ) in this population - based study .	2
we identified 150 patients with amyotrophic lateral sclerosis ( @coding_system$ code @code$ ) in this population - based study .	1
a total of 230 patients were diagnosed with @phenotype$ ( stage 3 – 5 ) using the @coding_system$ code n18 . 3 – n18 . 5 and followed for five years .	0
a total of 230 patients were diagnosed with @phenotype$ ( stage 3 – 5 ) using the icd - 10 code @code$ and followed for five years .	2
a total of 230 patients were diagnosed with chronic kidney disease ( stage 3 – 5 ) using the @coding_system$ code @code$ and followed for five years .	1
the @phenotype$ group included 200 patients who met the @coding_system$ diagnostic criteria ( code k58 ) .	0
the @phenotype$ group included 200 patients who met the icd - 10 diagnostic criteria ( code @code$ ) .	2
the irritable bowel syndrome group included 200 patients who met the @coding_system$ diagnostic criteria ( code @code$ ) .	1
all patients had a confirmed diagnosis of @phenotype$ ( @coding_system$ code h40 . 1 ) as per the clinical assessment .	0
all patients had a confirmed diagnosis of @phenotype$ ( icd - 10 code @code$ ) as per the clinical assessment .	2
all patients had a confirmed diagnosis of primary open - angle glaucoma ( @coding_system$ code @code$ ) as per the clinical assessment .	1
in this retrospective study , 450 patients with a history of @phenotype$ ( @coding_system$ codes i60 – i64 ) were compared to 500 age - and sex - matched controls without history of stroke .	0
in this retrospective study , 450 patients with a history of @phenotype$ ( icd - 10 codes @code$ ) were compared to 500 age - and sex - matched controls without history of stroke .	2
in this retrospective study , 450 patients with a history of stroke ( @coding_system$ codes @code$ ) were compared to 500 age - and sex - matched controls without history of stroke .	1
we investigated the association between @phenotype$ ( @coding_system$ code g47 . 30 ) and cognitive decline in elderly patients .	0
we investigated the association between @phenotype$ ( icd - 10 code @code$ ) and cognitive decline in elderly patients .	2
we investigated the association between obstructive sleep apnea ( @coding_system$ code @code$ ) and cognitive decline in elderly patients .	1
the @phenotype$ group comprised 250 individuals diagnosed using the @coding_system$ code h35 . 3 by certified ophthalmologists .	0
the @phenotype$ group comprised 250 individuals diagnosed using the icd - 10 code @code$ by certified ophthalmologists .	2
the age - related macular degeneration group comprised 250 individuals diagnosed using the @coding_system$ code @code$ by certified ophthalmologists .	1
a total of 382 patients with @phenotype$ ( @coding_system$ code c54 ) were studied in a multi - center , case - control study .	0
a total of 382 patients with @phenotype$ ( icd - 10 code @code$ ) were studied in a multi - center , case - control study .	2
a total of 382 patients with endometrial cancer ( @coding_system$ code @code$ ) were studied in a multi - center , case - control study .	1
clinical diagnosis of @phenotype$ was performed using the @coding_system$ code m45 and the modified new york criteria .	0
clinical diagnosis of @phenotype$ was performed using the icd - 10 code @code$ and the modified new york criteria .	2
clinical diagnosis of ankylosing spondylitis was performed using the @coding_system$ code @code$ and the modified new york criteria .	1
the study population consisted of 460 patients diagnosed with @phenotype$ ( @coding_system$ codes c91 – c95 ) who received chemotherapy treatment .	0
the study population consisted of 460 patients diagnosed with @phenotype$ ( icd - 10 codes @code$ ) who received chemotherapy treatment .	2
the study population consisted of 460 patients diagnosed with acute leukemia ( @coding_system$ codes @code$ ) who received chemotherapy treatment .	1
we identified 376 cases of @phenotype$ using the @coding_system$ code j84 . 1 from the hospital database .	0
we identified 376 cases of @phenotype$ using the icd - 10 code @code$ from the hospital database .	2
we identified 376 cases of idiopathic pulmonary fibrosis using the @coding_system$ code @code$ from the hospital database .	1
women who had undergone surgery for @phenotype$ ( @coding_system$ code c53 ) within the past 5 years were included in this study .	0
women who had undergone surgery for @phenotype$ ( icd - 10 code @code$ ) within the past 5 years were included in this study .	2
women who had undergone surgery for cervical cancer ( @coding_system$ code @code$ ) within the past 5 years were included in this study .	1
the study included 211 patients with @phenotype$ ( @coding_system$ code c61 ) who were treated with radiation therapy .	0
the study included 211 patients with @phenotype$ ( icd - 10 code @code$ ) who were treated with radiation therapy .	2
the study included 211 patients with prostate cancer ( @coding_system$ code @code$ ) who were treated with radiation therapy .	1
out of 1 , 200 patients , 112 had a diagnosis of @phenotype$ of the knee ( @coding_system$ code m17 ) .	0
out of 1 , 200 patients , 112 had a diagnosis of @phenotype$ of the knee ( icd - 10 code @code$ ) .	2
out of 1 , 200 patients , 112 had a diagnosis of osteoarthritis of the knee ( @coding_system$ code @code$ ) .	1
a total of 150 patients with @phenotype$ ( @coding_system$ code m34 ) were included in this multicenter study .	0
a total of 150 patients with @phenotype$ ( icd - 10 code @code$ ) were included in this multicenter study .	2
a total of 150 patients with systemic sclerosis ( @coding_system$ code @code$ ) were included in this multicenter study .	1
the cohort included 347 patients diagnosed with @phenotype$ ( @coding_system$ code g20 ) and 242 patients with parkinson ' s disease due to other causes ( code g21 – g26 ) .	0
the cohort included 347 patients diagnosed with @phenotype$ ( icd - 10 code @code$ ) and 242 patients with parkinson ' s disease due to other causes ( code g21 – g26 ) .	2
the cohort included 347 patients diagnosed with @phenotype$ ( icd - 10 code g20 ) and 242 patients with parkinson ' s disease due to other causes ( code @code$ ) .	2
the cohort included 347 patients diagnosed with idiopathic parkinson ' s disease ( @coding_system$ code @code$ ) and 242 patients with parkinson ' s disease due to other causes ( code g21 – g26 ) .	1
the cohort included 347 patients diagnosed with idiopathic parkinson ' s disease ( @coding_system$ code g20 ) and 242 patients with @phenotype$ due to other causes ( code g21 – g26 ) .	0
the cohort included 347 patients diagnosed with idiopathic parkinson ' s disease ( icd - 10 code @code$ ) and 242 patients with @phenotype$ due to other causes ( code g21 – g26 ) .	2
the cohort included 347 patients diagnosed with idiopathic parkinson ' s disease ( icd - 10 code g20 ) and 242 patients with @phenotype$ due to other causes ( code @code$ ) .	2
the cohort included 347 patients diagnosed with idiopathic parkinson ' s disease ( @coding_system$ code g20 ) and 242 patients with parkinson ' s disease due to other causes ( code @code$ ) .	1
patients with @phenotype$ were identified using the @coding_system$ code m05 and a positive anti - cyclic citrullinated peptide antibody test .	0
patients with @phenotype$ were identified using the icd - 10 code @code$ and a positive anti - cyclic citrullinated peptide antibody test .	2
patients with seropositive rheumatoid arthritis were identified using the @coding_system$ code @code$ and a positive anti - cyclic citrullinated peptide antibody test .	1
the study population included 420 patients with @phenotype$ ( @coding_system$ code b18 . 1 ) and 320 patients with chronic hepatitis c ( code b18 . 2 ) .	0
the study population included 420 patients with @phenotype$ ( icd - 10 code @code$ ) and 320 patients with chronic hepatitis c ( code b18 . 2 ) .	2
the study population included 420 patients with @phenotype$ ( icd - 10 code b18 . 1 ) and 320 patients with chronic hepatitis c ( code @code$ ) .	2
the study population included 420 patients with chronic hepatitis b ( @coding_system$ code @code$ ) and 320 patients with chronic hepatitis c ( code b18 . 2 ) .	1
the study population included 420 patients with chronic hepatitis b ( @coding_system$ code b18 . 1 ) and 320 patients with @phenotype$ ( code b18 . 2 ) .	0
the study population included 420 patients with chronic hepatitis b ( icd - 10 code @code$ ) and 320 patients with @phenotype$ ( code b18 . 2 ) .	2
the study population included 420 patients with chronic hepatitis b ( icd - 10 code b18 . 1 ) and 320 patients with @phenotype$ ( code @code$ ) .	2
the study population included 420 patients with chronic hepatitis b ( @coding_system$ code b18 . 1 ) and 320 patients with chronic hepatitis c ( code @code$ ) .	1
participants diagnosed with @phenotype$ ( @coding_system$ code o24 . 4 ) were included in this study if it was their first pregnancy .	0
participants diagnosed with @phenotype$ ( icd - 10 code @code$ ) were included in this study if it was their first pregnancy .	2
participants diagnosed with gestational diabetes ( @coding_system$ code @code$ ) were included in this study if it was their first pregnancy .	1
clinical diagnosis of @phenotype$ was made using the @coding_system$ code m34 . 0 in 200 patients .	0
clinical diagnosis of @phenotype$ was made using the icd - 10 code @code$ in 200 patients .	2
clinical diagnosis of localized scleroderma was made using the @coding_system$ code @code$ in 200 patients .	1
we compared 180 patients with @phenotype$ ( @coding_system$ code c25 ) to 360 controls matched by age , sex , and smoking status .	0
we compared 180 patients with @phenotype$ ( icd - 10 code @code$ ) to 360 controls matched by age , sex , and smoking status .	2
we compared 180 patients with pancreatic cancer ( @coding_system$ code @code$ ) to 360 controls matched by age , sex , and smoking status .	1
the study included 432 patients with a diagnosis of @phenotype$ ( @coding_system$ code k74 ) .	0
the study included 432 patients with a diagnosis of @phenotype$ ( icd - 10 code @code$ ) .	2
the study included 432 patients with a diagnosis of liver cirrhosis ( @coding_system$ code @code$ ) .	1
we analyzed data from 727 patients with @phenotype$ ( @coding_system$ code k74 . 3 ) who underwent liver transplantation .	0
we analyzed data from 727 patients with @phenotype$ ( icd - 10 code @code$ ) who underwent liver transplantation .	2
we analyzed data from 727 patients with primary biliary cholangitis ( @coding_system$ code @code$ ) who underwent liver transplantation .	1
the @phenotype$ group included 150 patients treated at the same facility with a clinical diagnosis of pulmonary tuberculosis ( @coding_system$ code a15 ) .	0
the @phenotype$ group included 150 patients treated at the same facility with a clinical diagnosis of pulmonary tuberculosis ( icd - 10 code @code$ ) .	2
the tuberculosis group included 150 patients treated at the same facility with a clinical diagnosis of pulmonary tuberculosis ( @coding_system$ code @code$ ) .	1
patients diagnosed with @phenotype$ ( @coding_system$ code g10 ) were evaluated for cognitive and motor function .	0
patients diagnosed with @phenotype$ ( icd - 10 code @code$ ) were evaluated for cognitive and motor function .	2
patients diagnosed with huntington ' s disease ( @coding_system$ code @code$ ) were evaluated for cognitive and motor function .	1
a total of 320 patients with @phenotype$ ( @coding_system$ code c71 . 0 – c71 . 9 ) were included in this study .	0
a total of 320 patients with @phenotype$ ( icd - 10 code @code$ ) were included in this study .	2
a total of 320 patients with glioblastoma multiforme ( @coding_system$ code @code$ ) were included in this study .	1
among study participants , 280 had a new diagnosis of @phenotype$ ( @coding_system$ codes c01 – c14 , c30 – c32 ) .	0
among study participants , 280 had a new diagnosis of @phenotype$ ( icd - 10 codes @code$ ) .	2
among study participants , 280 had a new diagnosis of head and neck cancer ( @coding_system$ codes @code$ ) .	1
we included 650 patients with a diagnosis of @phenotype$ ( @coding_system$ code k51 ) in this prospective study .	0
we included 650 patients with a diagnosis of @phenotype$ ( icd - 10 code @code$ ) in this prospective study .	2
we included 650 patients with a diagnosis of ulcerative colitis ( @coding_system$ code @code$ ) in this prospective study .	1
the @phenotype$ group included 180 patients with a clinical diagnosis of non - proliferative diabetic retinopathy ( @coding_system$ code h36 . 0 ) .	0
the @phenotype$ group included 180 patients with a clinical diagnosis of non - proliferative diabetic retinopathy ( icd - 10 code @code$ ) .	2
the diabetic retinopathy group included 180 patients with a clinical diagnosis of non - proliferative diabetic retinopathy ( @coding_system$ code @code$ ) .	1
a total of 250 patients with @phenotype$ ( @coding_system$ code f42 ) were included in this randomized controlled trial .	0
a total of 250 patients with @phenotype$ ( icd - 10 code @code$ ) were included in this randomized controlled trial .	2
a total of 250 patients with obsessive - compulsive disorder ( @coding_system$ code @code$ ) were included in this randomized controlled trial .	1
patients with clinical diagnoses of @phenotype$ ( @coding_system$ codes f70 – f79 ) were included in this study .	0
patients with clinical diagnoses of @phenotype$ ( icd - 10 codes @code$ ) were included in this study .	2
patients with clinical diagnoses of intellectual disability ( @coding_system$ codes @code$ ) were included in this study .	1
the study included 380 patients with @phenotype$ ( @coding_system$ code c91 . 0 ) .	0
the study included 380 patients with @phenotype$ ( icd - 10 code @code$ ) .	2
the study included 380 patients with acute lymphoblastic leukemia ( @coding_system$ code @code$ ) .	1
the @phenotype$ group included 254 patients with a clinical diagnosis of cystic fibrosis ( @coding_system$ code e84 ) .	0
the @phenotype$ group included 254 patients with a clinical diagnosis of cystic fibrosis ( icd - 10 code @code$ ) .	2
the cystic fibrosis group included 254 patients with a clinical diagnosis of cystic fibrosis ( @coding_system$ code @code$ ) .	1
the study included 320 patients with a diagnosis of @phenotype$ ( @coding_system$ code m81 ) and at least one previous fracture .	0
the study included 320 patients with a diagnosis of @phenotype$ ( icd - 10 code @code$ ) and at least one previous fracture .	2
the study included 320 patients with a diagnosis of osteoporosis ( @coding_system$ code @code$ ) and at least one previous fracture .	1
participants with @phenotype$ ( @coding_system$ code 300 . 02 ) were randomly assigned to four different treatment groups .	0
participants with @phenotype$ ( dsm - 5 code @code$ ) were randomly assigned to four different treatment groups .	2
participants with generalized anxiety disorder ( @coding_system$ code @code$ ) were randomly assigned to four different treatment groups .	1
the study included 353 patients with a diagnosis of @phenotype$ ( @coding_system$ code m79 . 7 ) who were treated with cognitive - behavioral therapy .	0
the study included 353 patients with a diagnosis of @phenotype$ ( icd - 10 code @code$ ) who were treated with cognitive - behavioral therapy .	2
the study included 353 patients with a diagnosis of fibromyalgia ( @coding_system$ code @code$ ) who were treated with cognitive - behavioral therapy .	1
a total of 680 patients with @phenotype$ ( @coding_system$ code m45 ) were included in a nationwide registry .	0
a total of 680 patients with @phenotype$ ( icd - 10 code @code$ ) were included in a nationwide registry .	2
a total of 680 patients with ankylosing spondylitis ( @coding_system$ code @code$ ) were included in a nationwide registry .	1
we analyzed 500 patients diagnosed with @phenotype$ ( @coding_system$ grade iv , icd - 10 code c71 ) to assess the impact of concurrent chemoradiotherapy .	0
we analyzed 500 patients diagnosed with @phenotype$ ( who grade iv , @coding_system$ code c71 ) to assess the impact of concurrent chemoradiotherapy .	0
we analyzed 500 patients diagnosed with @phenotype$ ( who grade iv , icd - 10 code @code$ ) to assess the impact of concurrent chemoradiotherapy .	2
we analyzed 500 patients diagnosed with glioblastoma ( @coding_system$ grade iv , icd - 10 code @code$ ) to assess the impact of concurrent chemoradiotherapy .	1
we analyzed 500 patients diagnosed with glioblastoma ( who grade iv , @coding_system$ code @code$ ) to assess the impact of concurrent chemoradiotherapy .	1
the study population included 600 patients diagnosed with @phenotype$ ( @coding_system$ codes c81 – c85 ) who were over 60 years of age .	0
the study population included 600 patients diagnosed with @phenotype$ ( icd - 10 codes @code$ ) who were over 60 years of age .	2
the study population included 600 patients diagnosed with lymphoma ( @coding_system$ codes @code$ ) who were over 60 years of age .	1
we compared the cognitive function of 1 , 000 patients diagnosed with @phenotype$ ( @coding_system$ code g30 ) to those with vascular dementia ( code f01 ) .	0
we compared the cognitive function of 1 , 000 patients diagnosed with @phenotype$ ( icd - 10 code @code$ ) to those with vascular dementia ( code f01 ) .	2
we compared the cognitive function of 1 , 000 patients diagnosed with @phenotype$ ( icd - 10 code g30 ) to those with vascular dementia ( code @code$ ) .	2
we compared the cognitive function of 1 , 000 patients diagnosed with alzheimer ' s disease ( @coding_system$ code @code$ ) to those with vascular dementia ( code f01 ) .	1
we compared the cognitive function of 1 , 000 patients diagnosed with alzheimer ' s disease ( @coding_system$ code g30 ) to those with @phenotype$ ( code f01 ) .	0
we compared the cognitive function of 1 , 000 patients diagnosed with alzheimer ' s disease ( icd - 10 code @code$ ) to those with @phenotype$ ( code f01 ) .	3
we compared the cognitive function of 1 , 000 patients diagnosed with alzheimer ' s disease ( icd - 10 code g30 ) to those with @phenotype$ ( code @code$ ) .	2
we compared the cognitive function of 1 , 000 patients diagnosed with alzheimer ' s disease ( @coding_system$ code g30 ) to those with vascular dementia ( code @code$ ) .	1
the study included 420 patients with a clinical diagnosis of @phenotype$ using the @coding_system$ code m32 . 14 .	0
the study included 420 patients with a clinical diagnosis of @phenotype$ using the icd - 10 code @code$ .	2
the study included 420 patients with a clinical diagnosis of lupus nephritis using the @coding_system$ code @code$ .	1
we investigated the association between @phenotype$ ( @coding_system$ code g93 . 3 ) and mental health outcomes in adolescents .	0
we investigated the association between @phenotype$ ( icd - 10 code @code$ ) and mental health outcomes in adolescents .	2
we investigated the association between chronic fatigue syndrome ( @coding_system$ code @code$ ) and mental health outcomes in adolescents .	1
the study included 454 patients with a confirmed diagnosis of @phenotype$ ( @coding_system$ code l40 ) and no history of cancer .	0
the study included 454 patients with a confirmed diagnosis of @phenotype$ ( icd - 10 code @code$ ) and no history of cancer .	2
the study included 454 patients with a confirmed diagnosis of psoriasis ( @coding_system$ code @code$ ) and no history of cancer .	1
we included patients with a diagnosis of @phenotype$ ( @coding_system$ code k50 ) who were naive to biological therapy .	0
we included patients with a diagnosis of @phenotype$ ( icd - 10 code @code$ ) who were naive to biological therapy .	2
we included patients with a diagnosis of crohn ' s disease ( @coding_system$ code @code$ ) who were naive to biological therapy .	1
patients diagnosed with stage iii / iv @phenotype$ ( @coding_system$ code c56 . 1 – c56 . 9 ) were included in this study .	0
patients diagnosed with stage iii / iv @phenotype$ ( icd - 10 code @code$ ) were included in this study .	2
patients diagnosed with stage iii / iv ovarian cancer ( @coding_system$ code @code$ ) were included in this study .	1
the study included 530 patients with a diagnosis of @phenotype$ ( @coding_system$ code i26 ) who were treated with anticoagulant therapy .	0
the study included 530 patients with a diagnosis of @phenotype$ ( icd - 10 code @code$ ) who were treated with anticoagulant therapy .	2
the study included 530 patients with a diagnosis of pulmonary embolism ( @coding_system$ code @code$ ) who were treated with anticoagulant therapy .	1
patients were included in the study if they had a diagnosis of @phenotype$ ( @coding_system$ code c90 ) and had received at least three lines of therapy .	0
patients were included in the study if they had a diagnosis of @phenotype$ ( icd - 10 code @code$ ) and had received at least three lines of therapy .	2
patients were included in the study if they had a diagnosis of multiple myeloma ( @coding_system$ code @code$ ) and had received at least three lines of therapy .	1
a total of 622 patients diagnosed with @phenotype$ ( @coding_system$ code i34 . 0 ) were included in the study .	0
a total of 622 patients diagnosed with @phenotype$ ( icd - 10 code @code$ ) were included in the study .	2
a total of 622 patients diagnosed with mitral valve prolapse ( @coding_system$ code @code$ ) were included in the study .	1
the study included 690 patients with a diagnosis of @phenotype$ infection ( @coding_system$ code b18 . 1 ) , and 350 patients infected with chronic hepatitis c ( code b18 . 2 ) .	0
